fecha,departamento,enCurso,cantCasosNuevos,cantFallecidos,acumFallecidos,cantRecuperados,acumRecuperados,acumCasos
07/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
07/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
07/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
07/05/2020,Maldonado (UY-MA ),7,1,0,4,0,16,27
07/05/2020,Montevideo (UY-MO ),134,7,0,11,3,360,505
07/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
07/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
07/05/2020,Rivera (UY-RV ),1,0,0,0,-1,0,1
07/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
07/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
07/05/2020,San José (UY-SJ ),0,0,0,0,0,3,3
07/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
07/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
07/05/2020,Treinta y Tres (UY-TT ),12,0,0,0,0,0,12
08/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
08/05/2020,Canelones (UY-CA ),18,0,0,2,0,77,97
08/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
08/05/2020,Colonia (UY-CO ),2,0,0,0,0,7,9
08/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
08/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
08/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
08/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
08/05/2020,Maldonado (UY-MA ),10,4,0,4,1,17,31
08/05/2020,Montevideo (UY-MO ),126,6,1,12,13,373,511
08/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
08/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
08/05/2020,Rivera (UY-RV ),1,0,0,0,0,0,1
08/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
08/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
08/05/2020,San José (UY-SJ ),0,0,0,0,0,3,3
08/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
08/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
08/05/2020,Treinta y Tres (UY-TT ),12,0,0,0,0,0,12
09/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
09/05/2020,Canelones (UY-CA ),18,1,0,2,1,78,98
09/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
09/05/2020,Colonia (UY-CO ),2,0,0,0,0,7,9
09/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
09/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
09/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
09/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
09/05/2020,Maldonado (UY-MA ),10,0,0,4,0,17,31
09/05/2020,Montevideo (UY-MO ),127,7,0,12,6,379,518
09/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
09/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
09/05/2020,Rivera (UY-RV ),1,0,0,0,0,0,1
09/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
09/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
09/05/2020,San José (UY-SJ ),0,0,0,0,0,3,3
09/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
09/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
09/05/2020,Treinta y Tres (UY-TT ),12,0,0,0,0,0,12
10/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
